video,class,class_id,n_frames
./kinetics_subset/disc golfing/-faKuDUKkdw_000004_000014,disc golfing,213,300
./kinetics_subset/disc golfing/o1DsVQYM2MQ_000006_000016,disc golfing,213,212
./kinetics_subset/snowkiting/BzguUB_wvtc_000352_000362,snowkiting,215,300
./kinetics_subset/snowkiting/9CuKe36LdKs_000192_000202,snowkiting,215,300
./kinetics_subset/crossing river/Z6502nHyGKI_000001_000011,crossing river,216,300
./kinetics_subset/crossing river/nt5sPExRJxQ_000003_000013,crossing river,216,240
./kinetics_subset/juggling balls/l7K4xvJDjrQ_000000_000010,juggling balls,217,300
./kinetics_subset/moving furniture/ZCI526sotQU_000014_000024,moving furniture,218,300
./kinetics_subset/moving furniture/gVuRHeoN1xs_000036_000046,moving furniture,218,286
./kinetics_subset/drop kicking/VDaBJpPy7Uc_000003_000013,drop kicking,219,140
./kinetics_subset/balloon blowing/3URFq-d2gLY_000106_000116,balloon blowing,220,300
./kinetics_subset/balloon blowing/Ge_itPm-vSI_000071_000081,balloon blowing,220,300
./kinetics_subset/stretching leg/VzgWI-Q2MbA_000054_000064,stretching leg,221,300
./kinetics_subset/stretching leg/ZhjRmK4JHrM_000004_000014,stretching leg,221,300
./kinetics_subset/shaving legs/uyZ33zyffSA_000006_000016,shaving legs,222,250
./kinetics_subset/shining shoes/XBY7gdWf12o_000005_000015,shining shoes,223,300
./kinetics_subset/shining shoes/Jj_50MJQQRU_000082_000092,shining shoes,223,300
./kinetics_subset/blowing out candles/ZRkNx8RWKqg_000014_000024,blowing out candles,224,300
./kinetics_subset/juggling fire/Z7aUdqwHfvk_000149_000159,juggling fire,225,300
./kinetics_subset/juggling fire/alRblfjQjoU_000039_000049,juggling fire,225,300
./kinetics_subset/abseiling/j32z4MASgo8_000205_000215,abseiling,226,250
./kinetics_subset/abseiling/bFdTLPL8TTM_000169_000179,abseiling,226,300
./kinetics_subset/jetskiing/JPpvWw4yKUA_000107_000117,jetskiing,227,118
./kinetics_subset/dodgeball/C8mKEDcy8ZY_000111_000121,dodgeball,228,240
./kinetics_subset/dodgeball/c-rx2sUfp50_000067_000077,dodgeball,228,300
./kinetics_subset/baking cookies/Y7NOxJo8HKU_000169_000179,baking cookies,229,300
./kinetics_subset/decorating the christmas tree/wqUmM3r4kq4_000110_000120,decorating the christmas tree,230,300
./kinetics_subset/decorating the christmas tree/I_Fr8XPU2q4_000095_000105,decorating the christmas tree,230,150
./kinetics_subset/carrying baby/EZ6OZXU93B8_000001_000011,carrying baby,231,300
./kinetics_subset/carrying baby/JYJ6qZ2DevY_000068_000078,carrying baby,231,250
./kinetics_subset/dancing ballet/8HGm-m-CwO8_000121_000131,dancing ballet,232,300
./kinetics_subset/tango dancing/tcP36vVwy_E_000001_000011,tango dancing,233,240
./kinetics_subset/waiting in line/-wZZiZNYHIA_000004_000014,waiting in line,234,151
./kinetics_subset/waiting in line/xTwGW5QkGFg_000025_000035,waiting in line,234,300
./kinetics_subset/hitting baseball/N5zWQkoLM3M_000120_000130,hitting baseball,235,300
./kinetics_subset/snowmobiling/HQDaDuvsdrs_000259_000269,snowmobiling,236,300
./kinetics_subset/snowmobiling/x5-IcIRAEcQ_000056_000066,snowmobiling,236,300
./kinetics_subset/sailing/RI7Tln1T1wg_000003_000013,sailing,237,300
./kinetics_subset/shuffling cards/Z6QA6iYK6Vw_000021_000031,shuffling cards,238,250
./kinetics_subset/shuffling cards/P0hQUySz4WU_000054_000064,shuffling cards,238,300
./kinetics_subset/welding/ifM7PvyMwQU_000009_000019,welding,239,120
./kinetics_subset/welding/Q4gZD-LkS1s_000450_000460,welding,239,300
./kinetics_subset/roller skating/16QWe9j5pUA_000133_000143,roller skating,240,300
./kinetics_subset/tying knot (not on a tie)/NoXMdEt133g_000042_000052,tying knot (not on a tie),241,300
./kinetics_subset/tying knot (not on a tie)/98_TK4AIG90_000001_000011,tying knot (not on a tie),241,300
./kinetics_subset/mowing lawn/AsghD21CFr4_000054_000064,mowing lawn,242,300
./kinetics_subset/catching or throwing frisbee/RlFMUo-__JE_000017_000027,catching or throwing frisbee,243,300
./kinetics_subset/catching or throwing frisbee/6kQJCejF90E_000004_000014,catching or throwing frisbee,243,150
./kinetics_subset/tai chi/IO3qDxDsqcc_000206_000216,tai chi,244,300
./kinetics_subset/tai chi/jKqYZnLhy0U_000098_000108,tai chi,244,300
./kinetics_subset/passing American football (in game)/aUfblO8zRTQ_000124_000134,passing American football (in game),245,240
./kinetics_subset/long jump/b7PCpt7ovHI_000001_000011,long jump,246,300
./kinetics_subset/long jump/GcsTIhvmNDY_000000_000010,long jump,246,165
./kinetics_subset/laughing/mcgSKxeuRrM_000015_000025,laughing,247,300
./kinetics_subset/chopping wood/aS7S_whb0RE_000005_000015,chopping wood,248,253
./kinetics_subset/chopping wood/yrUpiNhfj50_000007_000017,chopping wood,248,100
./kinetics_subset/playing drums/AvX4VwFaPmY_000106_000116,playing drums,249,300
./kinetics_subset/playing drums/aqeHbJc8iho_000068_000078,playing drums,249,100
./kinetics_subset/shaving head/sD-TQ2sYdTQ_000018_000028,shaving head,250,250
./kinetics_subset/pushing wheelchair/MvrD38BLIbs_000009_000019,pushing wheelchair,251,250
./kinetics_subset/pushing wheelchair/EEqt0eqOUO4_000000_000010,pushing wheelchair,251,300
./kinetics_subset/cooking sausages/OBn_qqYeW5Y_000066_000076,cooking sausages,252,300
./kinetics_subset/reading book/LXLXIKc1_nA_000047_000057,reading book,253,75
./kinetics_subset/reading book/QkrG-ZIm2gQ_000325_000335,reading book,253,240
./kinetics_subset/lunge/w083-K1zgfM_000014_000024,lunge,254,300
./kinetics_subset/lunge/TsaLJz50PBQ_000010_000020,lunge,254,300
./kinetics_subset/grinding meat/Um82R7CPwLk_000072_000082,grinding meat,255,300
./kinetics_subset/walking the dog/SpR14ByTEqo_000001_000011,walking the dog,256,300
./kinetics_subset/walking the dog/I_72JraEBrU_000090_000100,walking the dog,256,300
./kinetics_subset/jumping into pool/kaFtaApoEQE_000002_000012,jumping into pool,257,80
./kinetics_subset/tobogganing/N7RKGUTTpIE_000015_000025,tobogganing,258,297
./kinetics_subset/tobogganing/artxh3ld_MU_000003_000013,tobogganing,258,300
./kinetics_subset/riding elephant/f-U2IXL3uk0_000005_000015,riding elephant,259,300
./kinetics_subset/riding elephant/Hp4kRXMEO0o_000037_000047,riding elephant,259,300
./kinetics_subset/spinning poi/3ypcGnvMuFo_000184_000194,spinning poi,260,120
./kinetics_subset/holding snake/sZ_JfbV21Cc_000005_000015,holding snake,261,300
./kinetics_subset/holding snake/4E75lDljah8_000151_000161,holding snake,261,299
./kinetics_subset/opening bottle/Xk8eUQ-_xPg_000000_000010,opening bottle,262,300
./kinetics_subset/opening present/Hkps87fGZxM_000005_000015,opening present,263,290
./kinetics_subset/opening present/SlTShPIwaBA_000208_000218,opening present,263,300
./kinetics_subset/swing dancing/_S0j2Y8kmqc_000041_000051,swing dancing,264,250
./kinetics_subset/swing dancing/p_4sdRg5Vx0_000007_000017,swing dancing,264,300
./kinetics_subset/playing harp/7TZOYU__Ta0_000053_000063,playing harp,265,300
./kinetics_subset/waxing legs/I34F9PTQmZo_000025_000035,waxing legs,266,216
./kinetics_subset/waxing legs/d2GgotB0jbA_000445_000455,waxing legs,266,250
./kinetics_subset/weaving basket/LwWoyuw0sbw_000303_000313,weaving basket,267,250
./kinetics_subset/clapping/Qif36pZVg6g_000014_000024,clapping,268,300
./kinetics_subset/clapping/KqmtERKU1OY_000056_000066,clapping,268,300
./kinetics_subset/golf chipping/0_tWYFDPZd8_000066_000076,golf chipping,269,300
./kinetics_subset/golf chipping/VItOEgmBM3k_000052_000062,golf chipping,269,288
./kinetics_subset/riding or walking with horse/-ApPJCMjZVg_000114_000124,riding or walking with horse,270,300
./kinetics_subset/feeding birds/uSf-fq6V5do_000001_000011,feeding birds,271,300
./kinetics_subset/feeding birds/zL2vyCX7qik_000019_000029,feeding birds,271,150
./kinetics_subset/kicking field goal/Uii8fMpXAKs_000000_000010,kicking field goal,272,300
./kinetics_subset/baby waking up/EZ4nM6aWab8_000037_000047,baby waking up,273,120
./kinetics_subset/baby waking up/noCKr2pC5K0_000000_000010,baby waking up,273,300
./kinetics_subset/drinking/06A7IVDdaXo_000091_000101,drinking,274,300
./kinetics_subset/drinking/QFOdPkIfSIQ_000865_000875,drinking,274,300
./kinetics_subset/snowboarding/0i5IfU3yOxg_001259_001269,snowboarding,275,300
./kinetics_subset/brushing teeth/tZ7oHtNZpJ4_000048_000058,brushing teeth,276,300
./kinetics_subset/brushing teeth/wrlHs_EsLOY_000106_000116,brushing teeth,276,300
./kinetics_subset/cracking neck/Uy1MMU2qVRE_000002_000012,cracking neck,277,48
./kinetics_subset/rock scissors paper/dvKVGfFQyyA_000039_000049,rock scissors paper,278,236
./kinetics_subset/hammer throw/EWnRPJ7BEjM_000025_000035,hammer throw,279,165
./kinetics_subset/hammer throw/UQ1Z8H4u1lQ_000003_000013,hammer throw,279,157
./kinetics_subset/hockey stop/nPqhRbuIDww_000020_000030,hockey stop,280,222
./kinetics_subset/unloading truck/SkmsoFWg3EI_000000_000010,unloading truck,281,182
./kinetics_subset/unloading truck/TfJTWs4SLAY_000001_000011,unloading truck,281,300
./kinetics_subset/flipping pancake/asZphJY30fA_000000_000010,flipping pancake,282,118
./kinetics_subset/flipping pancake/SEMmkjkcAKk_000003_000013,flipping pancake,282,103
./kinetics_subset/brushing hair/9Y4VWs9AlFA_000582_000592,brushing hair,283,300
./kinetics_subset/cleaning windows/aTIVRjD_AI8_000248_000258,cleaning windows,284,240
./kinetics_subset/cleaning windows/Yk_4d83mUy0_000000_000010,cleaning windows,284,300
./kinetics_subset/making a sandwich/jZAcZGr7KQQ_000062_000072,making a sandwich,285,300
./kinetics_subset/eating carrots/hFu5vO96uuA_000020_000030,eating carrots,286,300
./kinetics_subset/eating carrots/6K9J9NfvDjE_000053_000063,eating carrots,286,300
./kinetics_subset/eating chips/UhougxuNqms_000017_000027,eating chips,287,300
./kinetics_subset/eating chips/CRbBXsksAqg_000002_000012,eating chips,287,300
./kinetics_subset/cooking on campfire/MtFoZtsXwjY_000011_000021,cooking on campfire,288,300
./kinetics_subset/getting a haircut/JahTs0ie5P0_000056_000066,getting a haircut,289,250
./kinetics_subset/getting a haircut/sYxLHNfp9EU_000088_000098,getting a haircut,289,300
./kinetics_subset/riding unicycle/64czn6u_ZD0_000039_000049,riding unicycle,290,300
./kinetics_subset/watering plants/7b0sYkelXiQ_000020_000030,watering plants,291,300
./kinetics_subset/watering plants/3RfsZrH-gPs_000029_000039,watering plants,291,300
./kinetics_subset/applying cream/MpFFhBLx8Xk_000001_000011,applying cream,292,300
./kinetics_subset/applying cream/LgW8pMDtylE_000041_000051,applying cream,292,300
./kinetics_subset/canoeing or kayaking/waDJJrTySFE_000037_000047,canoeing or kayaking,293,250
./kinetics_subset/shaking head/_GXRL4kUqX0_000003_000013,shaking head,294,120
./kinetics_subset/shaking head/_a83u5i1iWQ_000007_000017,shaking head,294,208
./kinetics_subset/swinging on something/2QeFt-2QcQw_000006_000016,swinging on something,295,300
./kinetics_subset/catching fish/mhrSHTTTMDs_000057_000067,catching fish,296,300
./kinetics_subset/catching fish/joKUDxAn1i0_000077_000087,catching fish,296,300
./kinetics_subset/folding clothes/CYXOO1zXacs_000001_000011,folding clothes,297,197
./kinetics_subset/bungee jumping/X2OZ15Je6ME_000004_000014,bungee jumping,298,284
./kinetics_subset/making tea/pzvPaPgLehs_000051_000061,making tea,299,300
./kinetics_subset/capoeira/QFL4lQINTjU_000050_000060,capoeira,300,300
./kinetics_subset/capoeira/vWPCvR3PDFU_000068_000078,capoeira,300,150
./kinetics_subset/folding paper/VqjlGT8xRNc_000034_000044,folding paper,301,300
./kinetics_subset/swimming breast stroke/zqy79-BNFyg_000032_000042,swimming breast stroke,302,300
./kinetics_subset/swimming breast stroke/V2CbiUgoHHs_000001_000011,swimming breast stroke,302,300
./kinetics_subset/peeling apples/JWvR_MmdTOA_000076_000086,peeling apples,303,300
./kinetics_subset/peeling apples/yRPAashsbds_000090_000100,peeling apples,303,300
./kinetics_subset/paragliding/IYNP1CaawP4_000004_000014,paragliding,304,250
./kinetics_subset/slapping/9XvQuC2n0zg_000003_000013,slapping,305,137
./kinetics_subset/slapping/ycI2L7ELHXE_000030_000040,slapping,305,300
./kinetics_subset/throwing ball/sxPKQUjqVAE_000034_000044,throwing ball,306,300
./kinetics_subset/scrambling eggs/RtQx5J0KSK0_000034_000044,scrambling eggs,307,300
./kinetics_subset/scrambling eggs/282ALbZe7Ek_000053_000063,scrambling eggs,307,250
./kinetics_subset/reading newspaper/ju7KZiJC9qM_000012_000022,reading newspaper,308,240
./kinetics_subset/reading newspaper/d1M4dDjQXXA_001014_001024,reading newspaper,308,300
./kinetics_subset/massaging back/XG8bvUfC-Jk_001803_001813,massaging back,309,300
./kinetics_subset/playing piano/x0LZDY9latg_000001_000011,playing piano,310,298
./kinetics_subset/playing piano/rzO_awjsvVI_000000_000010,playing piano,310,300
./kinetics_subset/trimming or shaving beard/Gkfv1S1qb0w_000055_000065,trimming or shaving beard,311,300
./kinetics_subset/strumming guitar/DWR5RL4Lzgg_000019_000029,strumming guitar,312,173
./kinetics_subset/strumming guitar/6JaIw6fb3Lo_000078_000088,strumming guitar,312,300
./kinetics_subset/tasting beer/RGaGZvKghGU_000038_000048,tasting beer,313,300
./kinetics_subset/tasting beer/c--YbuFrXbI_000105_000115,tasting beer,313,240
./kinetics_subset/shaking hands/yfKm2hz9psg_000000_000010,shaking hands,314,156
./kinetics_subset/dining/9Ej1hMEhbYI_000510_000520,dining,315,250
./kinetics_subset/dining/jgnqEsM1odg_000043_000053,dining,315,300
./kinetics_subset/jogging/WqEn9f1-ekE_000019_000029,jogging,316,300
./kinetics_subset/fixing hair/QPLs2eMr778_000004_000014,fixing hair,317,300
./kinetics_subset/fixing hair/JQ6sX-uG9yY_000028_000038,fixing hair,317,300
./kinetics_subset/playing recorder/XGemYI1k1Q8_000002_000012,playing recorder,318,300
./kinetics_subset/playing recorder/nJVM_LYlZK8_000015_000025,playing recorder,318,300
./kinetics_subset/setting table/Zrg59MrnZBw_000068_000078,setting table,319,300
./kinetics_subset/throwing axe/1LsTfa0aTb8_000004_000014,throwing axe,320,150
./kinetics_subset/throwing axe/6od-Gp0u7oQ_000028_000038,throwing axe,320,153
./kinetics_subset/parasailing/_5Mk3yxmVwY_000254_000264,parasailing,321,300
./kinetics_subset/playing cello/aZlyj-8vM3c_000065_000075,playing cello,322,240
./kinetics_subset/playing cello/1MJFBGPRCow_000013_000023,playing cello,322,300
./kinetics_subset/eating burger/fIpUvHPWyOU_000012_000022,eating burger,323,300
./kinetics_subset/eating burger/TAhdlUTEv2c_000007_000017,eating burger,323,300
./kinetics_subset/cutting nails/2s5vwduYTWM_000042_000052,cutting nails,324,300
./kinetics_subset/training dog/nZ0sACbNCns_000036_000046,training dog,325,300
./kinetics_subset/training dog/fPxmCfuX7qo_000003_000013,training dog,325,300
./kinetics_subset/blowing glass/f-C01BBSc5A_000028_000038,blowing glass,326,300
./kinetics_subset/doing laundry/qRzBCfhTSS0_000000_000010,doing laundry,327,300
./kinetics_subset/doing laundry/85uuutw02AU_000050_000060,doing laundry,327,300
./kinetics_subset/zumba/PY_aNRmCnzw_000143_000153,zumba,328,300
./kinetics_subset/zumba/kgHytANtrn0_000048_000058,zumba,328,300
./kinetics_subset/drumming fingers/ZmCHFmjnRes_000242_000252,drumming fingers,330,300
./kinetics_subset/drumming fingers/yiZLaUhso1Y_000001_000011,drumming fingers,330,300
./kinetics_subset/bandaging/xFW5l5IQq48_000035_000045,bandaging,331,250
./kinetics_subset/bandaging/pIxzPP5JUT4_000070_000080,bandaging,331,300
./kinetics_subset/barbequing/0Jzz8XkT5i4_000008_000018,barbequing,332,211
./kinetics_subset/catching or throwing baseball/AsPjORZU-cU_000055_000065,catching or throwing baseball,333,300
./kinetics_subset/catching or throwing baseball/U-9yKgzMnl8_000019_000029,catching or throwing baseball,333,250
./kinetics_subset/making snowman/L_0NMGwhtUQ_000007_000017,making snowman,334,300
./kinetics_subset/sharpening knives/qgAoS-OVAos_000135_000145,sharpening knives,335,300
./kinetics_subset/sharpening knives/4t_u9jEQWCY_000139_000149,sharpening knives,335,300
./kinetics_subset/bench pressing/mTOeP7vfzso_000001_000011,bench pressing,336,300
./kinetics_subset/bench pressing/BFPKPjBgXIU_000022_000032,bench pressing,336,300
./kinetics_subset/headbanging/Zrde3hdB9Cg_000003_000013,headbanging,337,198
./kinetics_subset/driving car/JdMRrkmzPFU_000013_000023,driving car,338,299
./kinetics_subset/driving car/tVuop87KbDY_000011_000021,driving car,338,240
./kinetics_subset/situp/CZOroZ61VSg_000000_000010,situp,339,240
./kinetics_subset/trapezing/rUFwgAmew1M_000001_000011,trapezing,340,300
./kinetics_subset/archery/5rElcI860iU_000075_000085,archery,341,300
./kinetics_subset/archery/BeSwkzhLwSc_000011_000021,archery,341,190
./kinetics_subset/playing ukulele/sriuUXebIbU_000012_000022,playing ukulele,342,152
./kinetics_subset/spray painting/2BBn3DzQHmE_000416_000426,spray painting,343,300
./kinetics_subset/spray painting/B2KtYZOSsu4_000001_000011,spray painting,343,197
./kinetics_subset/shooting basketball/MB17NbvTzK4_000002_000012,shooting basketball,344,250
./kinetics_subset/shooting basketball/NBw6x_8FszI_000123_000133,shooting basketball,344,300
./kinetics_subset/contact juggling/hhXhsMx33T4_000010_000020,contact juggling,345,300
./kinetics_subset/javelin throw/aNVaHLl3fjk_000002_000012,javelin throw,346,256
./kinetics_subset/javelin throw/yimS7fmRQU8_000002_000012,javelin throw,346,139
./kinetics_subset/playing harmonica/7JKAUB1ZUbg_000004_000014,playing harmonica,347,300
./kinetics_subset/motorcycling/pZZVzBD8bZY_000075_000085,motorcycling,348,250
./kinetics_subset/motorcycling/VzcpGQm_1V8_000129_000139,motorcycling,348,120
./kinetics_subset/skydiving/GFmejF5gXqg_000200_000210,skydiving,349,300
./kinetics_subset/skydiving/IAsoQV0F48c_000146_000156,skydiving,349,300
./kinetics_subset/massaging feet/5YO35sX60Sk_000006_000016,massaging feet,350,274
./kinetics_subset/playing poker/CRmi8FHcYzg_000013_000023,playing poker,351,150
./kinetics_subset/playing poker/uhhoRhS-BMI_000365_000375,playing poker,351,300
./kinetics_subset/side kick/Lti-qXl2fXc_000000_000010,side kick,352,208
./kinetics_subset/playing squash or racquetball/69xYsLHP1ik_000004_000014,playing squash or racquetball,353,300
./kinetics_subset/playing squash or racquetball/bDlnrPoP2dY_000124_000134,playing squash or racquetball,353,300
./kinetics_subset/golf driving/8qNOLE8Du7c_000003_000013,golf driving,354,80
./kinetics_subset/golf driving/VMUQHjoRjUU_000027_000037,golf driving,354,193
./kinetics_subset/playing didgeridoo/WqipRJG0QxQ_000016_000026,playing didgeridoo,355,300
./kinetics_subset/water sliding/G14CJdDtte4_000072_000082,water sliding,356,250
./kinetics_subset/water sliding/E8D-aEUiChs_000002_000012,water sliding,356,210
./kinetics_subset/trimming trees/THZq7Bwsdeo_000150_000160,trimming trees,357,300
./kinetics_subset/dancing macarena/kzO4sX80A_A_000039_000049,dancing macarena,358,300
./kinetics_subset/dancing macarena/Y-NHEpYJaf8_000046_000056,dancing macarena,358,300
./kinetics_subset/catching or throwing softball/XC3xLYqCmeY_000005_000015,catching or throwing softball,359,300
./kinetics_subset/catching or throwing softball/t2m4tNEVxzE_000004_000014,catching or throwing softball,359,199
./kinetics_subset/eating hotdog/kUPHqvtm70Y_000043_000053,eating hotdog,360,300
./kinetics_subset/changing wheel/4oyV_yblhEo_000042_000052,changing wheel,361,250
./kinetics_subset/changing wheel/3QhnzaOGtJY_000177_000187,changing wheel,361,240
./kinetics_subset/tapping guitar/bV2A6cLWqO8_000194_000204,tapping guitar,362,300
./kinetics_subset/playing basketball/uPMrdDdZ688_000107_000117,playing basketball,363,300
./kinetics_subset/playing organ/mIqVA7Zwfrs_000014_000024,playing organ,364,124
./kinetics_subset/playing organ/T8HPUVKhA4U_000000_000010,playing organ,364,150
./kinetics_subset/blasting sand/zVdzvzhIucg_000020_000030,blasting sand,365,300
./kinetics_subset/stretching arm/IZd3l8od06U_000002_000012,stretching arm,366,250
./kinetics_subset/stretching arm/GhEZt5l4cLg_000088_000098,stretching arm,366,120
./kinetics_subset/playing ice hockey/nzqlP05Lkz8_000003_000013,playing ice hockey,367,250
./kinetics_subset/playing ice hockey/I6_2k-tsXG0_000186_000196,playing ice hockey,367,300
./kinetics_subset/bending metal/Tt3EdH8xjTg_000000_000010,bending metal,368,300
./kinetics_subset/bee keeping/yfkNCKlVOoY_000068_000078,bee keeping,369,250
./kinetics_subset/bee keeping/dtp3QAMnjLM_000286_000296,bee keeping,369,300
./kinetics_subset/cartwheeling/lY1SyjWEF8A_000003_000013,cartwheeling,370,54
./kinetics_subset/doing aerobics/7zc_qvG2bAw_000200_000210,doing aerobics,371,300
./kinetics_subset/doing aerobics/pLIXAeqhzHo_000190_000200,doing aerobics,371,300
./kinetics_subset/juggling soccer ball/yb97WWwe-nM_000018_000028,juggling soccer ball,372,240
./kinetics_subset/juggling soccer ball/Cx4gYKkTPys_000032_000042,juggling soccer ball,372,300
./kinetics_subset/ice climbing/zZqEGa1dDWM_000346_000356,ice climbing,373,248
./kinetics_subset/playing xylophone/kDNG-8C2Jrs_000000_000010,playing xylophone,374,300
./kinetics_subset/playing xylophone/vZJqc9BIoZM_000038_000048,playing xylophone,374,300
./kinetics_subset/shredding paper/I4RIyZDsltM_000005_000015,shredding paper,375,300
./kinetics_subset/pull ups/Iw3X6M-uzbg_000001_000011,pull ups,376,250
./kinetics_subset/pull ups/YVVns1LhKnM_000057_000067,pull ups,376,300
./kinetics_subset/playing accordion/OtUxN7tXEXU_000049_000059,playing accordion,377,300
./kinetics_subset/playing accordion/WIYKkrqF1rw_000009_000019,playing accordion,377,300
./kinetics_subset/surfing water/bv23htbOMMs_000004_000014,surfing water,378,300
./kinetics_subset/cutting pineapple/xr682TMLyNw_000151_000161,cutting pineapple,379,300
./kinetics_subset/cutting pineapple/7y25zas5IqM_000248_000258,cutting pineapple,379,300
./kinetics_subset/finger snapping/qwXlsKWUUEk_000004_000014,finger snapping,380,300
./kinetics_subset/vault/TA7nm2dPZVc_000000_000010,vault,381,297
./kinetics_subset/vault/sZCx2Ms9tmk_000044_000054,vault,381,300
./kinetics_subset/washing hair/W5MeD3nRx9E_000393_000403,washing hair,382,300
./kinetics_subset/washing hair/eXgiUWDs58Y_000059_000069,washing hair,382,300
./kinetics_subset/jumpstyle dancing/u4tNQHPIjIk_000070_000080,jumpstyle dancing,383,300
./kinetics_subset/whistling/VoHHr6R6VWw_000101_000111,whistling,384,250
./kinetics_subset/whistling/U19gsdcYRwg_000009_000019,whistling,384,150
./kinetics_subset/braiding hair/IyAGSR-DQYQ_000108_000118,braiding hair,385,300
./kinetics_subset/springboard diving/RJe9feXkZNM_000008_000018,springboard diving,386,250
./kinetics_subset/springboard diving/ZpYNqEbzJec_000002_000012,springboard diving,386,276
./kinetics_subset/peeling potatoes/NuYxk3bUGik_000046_000056,peeling potatoes,387,240
./kinetics_subset/peeling potatoes/FBH02_v6TK0_000012_000022,peeling potatoes,387,300
./kinetics_subset/carving pumpkin/Ph-FUU2fRRo_000023_000033,carving pumpkin,388,243
./kinetics_subset/cooking chicken/wOxt6xI-uEM_000536_000546,cooking chicken,389,300
./kinetics_subset/cooking chicken/ElQ1uyAY0P0_000326_000336,cooking chicken,389,250
./kinetics_subset/kitesurfing/S54D6OCbkbM_000044_000054,kitesurfing,390,300
./kinetics_subset/eating spaghetti/KZaFbvwl3cs_000255_000265,eating spaghetti,391,135
./kinetics_subset/eating spaghetti/-ZYl4Sw2SSk_000243_000253,eating spaghetti,391,300
./kinetics_subset/bookbinding/ynQtdN15S0c_000463_000473,bookbinding,392,300
./kinetics_subset/bookbinding/GjtR9KZbV3Y_000494_000504,bookbinding,392,300
./kinetics_subset/sweeping floor/Q4h_iPt1uwU_000003_000013,sweeping floor,393,300
./kinetics_subset/assembling computer/QSwo3ekbNoQ_000734_000744,assembling computer,394,300
./kinetics_subset/assembling computer/4q1ckar2eEg_001470_001480,assembling computer,394,300
./kinetics_subset/writing/R-sTFq_J6vI_000062_000072,writing,395,300
./kinetics_subset/using remote controller (not gaming)/Bj7_KWKEXp8_000046_000056,using remote controller (not gaming),396,300
./kinetics_subset/using remote controller (not gaming)/mA0da8MzwiY_000086_000096,using remote controller (not gaming),396,250
./kinetics_subset/bouncing on trampoline/k3RQEXLtwdQ_000186_000196,bouncing on trampoline,397,300
./kinetics_subset/waxing chest/291EgaO_F94_000049_000059,waxing chest,398,300
./kinetics_subset/counting money/1rNPVU8Ookc_000013_000023,counting money,399,300
./kinetics_subset/counting money/T9LhYz-yD6o_000005_000015,counting money,399,300
